smiles,heptox
CC(C)C1NC(=O)C(NC(=O)C2=C(N)C(=O)C(=C3Oc4c(C)ccc(C(=O)NC5C(C)OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C6CCCN6C(=O)C(NC5=O)C(C)C)c4N=C23)C)C(C)OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C7CCCN7C1=O,1.0
CN1[C@@H]2CC[C@@H]1CC(C2)OC(c3ccccc3)c4ccccc4,0.0
C[C@@H](c1ncncc1F)[C@](O)(Cn2cncn2)c3ccc(F)cc3F,1.0
Cc1ccccc1C(=O)Nc2ccc(C(=O)N3CCCC(O)c4cc(Cl)ccc34)c(C)c2,1.0
CC1=CN([C@@H]2O[C@H](CO)C=C2)C(=O)NC1=O,1.0
CC(C)NNC(=O)c1ccncc1,1.0
NC1=NC(=O)C(O1)c2ccccc2,1.0
CCN(CC)CC#CCOC(=O)C(O)(C1CCCCC1)c2ccccc2,0.0
OC(=O)c1cc(nc2ccccc12)c3ccccc3,1.0
CC(C)[C@@H](C)\C=C\[C@@H](C)[C@H]1CC[C@H]2\C(=C\C=C/3\C[C@@H](O)CCC3=C)\CCC[C@]12C,0.0
CN[C@@H](C)[C@H](O)c1ccccc1,0.0
OC(=O)C(CC(=O)CNC(=O)c1ccccc1)Cc2ccccc2,0.0
C[C@]12CC[C@H]3[C@@H](CC(=C)C4=CC(=O)C=C[C@]34C)[C@@H]1CCC2=O,1.0
OC(=O)C1=CN(C2CC2)c3cc(N4CCNCC4)c(F)cc3C1=O,1.0
ClC(Cl)C(c1ccc(Cl)cc1)c2ccccc2Cl,0.0
Cc1cc2N=C3C(=O)NC(=O)N=C3N(C[C@@H](O)[C@@H](O)[C@@H](O)CO)c2cc1C,0.0
OP(=O)(O)OCN1C(=O)NC(C1=O)(c2ccccc2)c3ccccc3,1.0
O=C(CCNNC(=O)c1ccncc1)NCc2ccccc2,1.0
CC(CCc1ccccc1)NCC(O)c2ccc(O)c(c2)C(=O)N,1.0
CC(C)NCC(O)COc1cccc2[nH]ccc12,0.0
OP(=O)(O)C(Sc1ccc(Cl)cc1)P(=O)(O)O,0.0
COc1ccc(cc1)[C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(=O)C,1.0
Nc1nnc(c(N)n1)c2cccc(Cl)c2Cl,1.0
CCC[C@H]1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO,0.0
CO\N=C(/N)\c1ccc(cc1)c2oc(cc2)c3ccc(cc3)\C(=N\OC)\N,1.0
CCOC(=O)c1cncn1C(C)c2ccccc2,0.0
CN(C)CCOC(c1ccc(Cl)cc1)c2ccccn2,0.0
COc1ccc(CC2c3cc(OC)c(OC)cc3CC[N+]2(C)CCC(=O)OCCCCCOC(=O)CC[N+]4(C)CCc5cc(OC)c(OC)cc5C4Cc6ccc(OC)c(OC)c6)cc1OC,0.0
CC(C)CCCC(C)CCCC(C)CCCC(=CCC1=C(C)C(=O)c2ccccc2C1=O)C,0.0
C[N+](C)(C)C[C@H](O)CC(=O)[O-],0.0
OC(=O)COc1nn(Cc2ccccc2)c3ccccc13,1.0
CC1(C)SC(NC1C(=O)O)C(NC(=O)Cc2ccccc2)C(=O)NCCCCCC(=O)O,0.0
CN(C)CCC(c1ccc(Cl)cc1)c2ccccn2,0.0
C[C@]12C[C@H](O)[C@@]3(F)[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO,0.0
CC[C@H](C)[C@@H]1NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCSC)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCNC(=N)N)NC(=O)CNC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CSSC[C@H](NC(=O)CNC(=O)[C@H](CC(C)C)NC(=O)CNC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC1=O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC3C=NC=N3)C(=O)O)NC(=O)CNC(=O)[C@H](CO)NC(=O)CNC(=O)[C@H](CCC(=O)N)NC(=O)[C@@H](NC(=O)[C@H](CCSC)NC(=O)[C@H](CCCCN)NC(=O)[C@@H]4CCCN4C(=O)[C@@H](N)CO)C(C)C,0.0
ClCC1CO1,0.0
CN1CCCN=C1\C=C\c2cccs2,0.0
