smiles,solub
CCc1cccc(CC)c1N2C(=C(C=C(C2=O)c3nc(cs3)c4ccc(Cl)cc4)C(=O)N5CC(O)C5)CC(C)C,0.0
NCCNC(=O)c1cccc(c1)c2ccc3Nc4ccc(OC(F)(F)F)cc4NC(=O)c3c2,0.0
CCN(c1ccc(CCO)cc1)c2cc(Nc3ccc4[nH]nnc4c3)ncn2,1.0
OC(=O)c1csc(n1)n2nc(cc2O)c3ccc(F)c(Cc4ccccc4)c3,1.0
CCOC(=O)c1cnn(c1C2CCN(CC2)C(=O)OC(C)(C)C)c3cccc(Cl)c3C,0.0
CCN(Cc1ccc(OC)c(OC)c1)S(=O)(=O)c2ccc(Cl)cc2,0.0
Cc1cc(OCCCc2c3C(=O)N(Cc4cccc(c4)C(=O)O)CCCn3c5c(cccc25)c6c(C)nn(C)c6C)cc(C)c1Cl,0.0
C(CN1CCOCC1)Oc2cc3ncc(c4cccc(NC5CCNC5)n4)n3cc2c6cn[nH]c6,1.0
COc1ccc(NC(=O)c2cccc(c2)n3ccnc3)cc1S(=O)(=O)N4CCOCC4,1.0
CCc1cccc(CC)c1N2C(=O)C(=CC(=C2C(C)C)C(=O)N3CCN[C@@H](C3)C(=O)O)c4nc(cs4)c5ccc(Cl)cc5,1.0
Cc1ccc(Nc2cc(Oc3c(Cl)cc(N)cc3Cl)ncn2)cc1,0.0
Cc1cc(C(=O)NNS(=O)(=O)c2ccc(cc2)C(C)(C)C)n(n1)C(C)(C)C,0.0
Cn1cc(cn1)c2cc(Cl)c(O)c(Cl)c2,1.0
CCN(c1ccc(CCO)cc1)c2cc(Nc3cccc(c3)C(=O)O)ncn2,1.0
CC(=O)c1ccc(cc1)n2cccc2\C=C/3\NC(=O)N(C3=O)c4cccc(Cl)c4,0.0
CN1CCN(CCN2C=C(C(=CC2=O)C)c3cccc4c(CCCOc5cc(C)c(Cl)c(C)c5)c([nH]c34)C(=O)NS(=O)(=O)c6ccccc6)CC1,0.0
FC(F)(F)Oc1ccc(Nc2nc3cc(ccc3[nH]2)C(=O)NCCN4CCOCC4)cc1,1.0
Brc1ccc(s1)C(=O)Nc2nnc(s2)C3CCCCC3,0.0
CCN1CCC(CC1)N(CCc2ccccc2)Cc3ccccc3,1.0
N#Cc1nc(oc1NC2COC2)c3cccc4ccccc34,0.0
CCCCN(CCCNC(=O)C1CCN(CC1)C(=O)c2cc3c(Cl)cc(Cl)cc3[nH]2)Cc4ccccc4,0.0
CCc1cccc(CC)c1N2C(=C(C=C(C2=O)c3nc(cs3)c4ccc(Cl)cc4)C(=O)NC[C@@H](N)C(=O)O)CC(C)C,0.0
COc1ccc(cc1Cl)c2cnn(Cc3ccccc3)c2,0.0
CC(C)CCn1c(Oc2ccc(cc2)c3ccc(C)nc3)nc4N(C)C(=O)N(C)C(=O)c14,0.0
FC(F)(F)Oc1ccc(NC(=O)c2ccc(cc2)S(=O)(=O)N3CCOCC3)cc1,0.0
COc1ccc2c(N3CCC4(CC3)OCCO4)c(cnc2c1)C(=O)N5CCN(CC5)S(=O)(=O)C,1.0
COC(=O)c1cccc(c1)C(=O)c2no[n+]([O-])c2C(=O)c3cccc(c3)C(=O)OC,1.0
COc1ccccc1c2csc(NC(=O)c3ccc(cc3NS(=O)(=O)c4ccc(C)cc4)C(F)(F)F)n2,0.0
COc1ccc(cc1)C2=Nc3ccccc3C(=O)N(Cc4occc4)C2,1.0
COc1c(F)ccc(CN2N=Cc3c(C2=O)n(C)c4cc(SC)sc34)c1F,0.0
Clc1ccccc1Cc2cnc(NC(=O)c3ccn(n3)c4ccccc4)s2,0.0
COC(=O)c1ccc(CNC(=O)C2=C(C)NC(=NC2c3ccccc3Cl)Nc4oc5ccccc5n4)cc1,0.0
OC(=O)CN1CCc2c(C1)sc3N(Cc4cccc(c4)C(F)(F)F)C(=O)N(C(=O)c23)c5ccccc5,1.0
CCCCN(CCCNC(=O)C1CCN(CC1)C(=O)c2oc3ccccc3c2)Cc4cccc(C)c4,1.0
COc1cccc(CN2CCCC(C2)c3nc(ncc3c4ccccc4)c5ccncc5)c1OC,0.0
Fc1ccc(cc1F)N2CCN(CC2)C(=O)c3cnc(N4CCCCC4)c5ccccc35,0.0
NS(=O)(=O)c1ccc(NCc2c(O)[nH]nc2c3ccccc3)cc1,1.0
CCCCN(CCCNC(=O)C1CCN(CC1)C(=O)c2cccnn2)Cc3ccccc3,1.0
CCOC(=O)c1csc(n1)n2nc(c(Oc3ccc(cc3)S(=O)(=O)N)c2C4CC4)c5ccccc5,0.0
Oc1ccccc1CN2CCN(CC2)c3ncccn3,0.0
Cc1cc(OCCCc2c([nH]c3c(c(Cl)ccc23)c4c(C)nn(C)c4C)C(=O)Nc5cncc(c5)C(=O)O)cc(C)c1Cl,1.0
CCN1C(=O)N(c2ccc(N3CCN(CC3)C(=O)OC(C)(C)C)c(c2)C(F)(F)F)c4c1cnc5ccc(cc45)c6ccc(OC)nc6,0.0
Cc1cc(OCCCc2c(C)n(CCC(=O)NS(=O)(=O)c3cccnc3)c4c(cccc24)c5c(C)nn(C)c5C)cc(C)c1Cl,1.0
CCCCN(CCCNC(=O)C1CCN(CC1)C(=O)c2oc3ccccc3c2)CC4=C(C)OC(=O)O4,1.0
Cc1cc(OCCCc2c([nH]c3c(c(Cl)ccc23)c4c(C)nn(C)c4C)C(=O)Nc5cc(Br)cc(c5)C(=O)O)cc(C)c1Cl,1.0
Cc1cc(SCc2sc(nc2C)c3cccc(Cl)c3Cl)ccc1OCC(=O)O,1.0
COc1cccc2[nH]cc(CN3CCC(O)(CC3)c4ccc(Br)cc4)c12,1.0
CCOC(=O)N1CCc2c(C1)sc(NCc3ccc(cc3)N(C)C)c2C(=O)Nc4ccc(OC)cc4,0.0
Oc1ccc(NCc2nnc(O)c3ccccc23)cc1,1.0
CCCCN(CCCNC(=O)C1CCN(CC1)C(=O)c2ccc3nc(C)sc3c2)Cc4ccccc4,1.0
