smiles,herg
OCN1C(=O)CCC1=O,0.0
CN[C@H]1[C@@H](O)[C@@H](NC)[C@@H]2O[C@@]3(O)[C@@H](O[C@H](C)CC3=O)O[C@H]2[C@H]1O,0.0
CC(C)NC[C@H](O)c1cc(O)cc(O)c1,0.0
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,0.0
CC(C)Oc1ccc2C(=O)C=C(Oc2c1)c3ccccc3,1.0
Nc1ccc2C(=O)NC(=O)c3cccc1c23,1.0
O=C1C=CC(=O)C=C1,0.0
N\C(=C(/C#N)\C(=C(\N)/Sc1ccccc1N)\C#N)\Sc2ccccc2N,0.0
CCC(C)(O)C#C,0.0
CC12C3CCC(O3)C1(C)C(=O)OC2=O,0.0
CCCCN1C2CCC1CC(C2)OC(c3ccc(F)cc3)c4ccc(F)cc4,1.0
CCN(CC)C(=O)Nc1ccc(OC[C@H](O)CNC(C)(C)C)c(c1)C(=O)C,0.0
C[N@+]1([O-])[C@@H]2C[C@@H](C[C@@H]1[C@H]3O[C@@H]23)OC(=O)[C@@H](CO)c4ccccc4,0.0
CN1C(=O)N(CCCCC(=O)C)C(=O)c2c1ncn2C,0.0
