smile,solub
CCCN(CCC)S(=O)(=O)c1cc2CCN3C(=O)CCc(c1)c23,1
O=N(=O)c1ccc(cc1)C2=Nn3c(Cn4nnc5ccccc45)nnc3SC2,0
Fc1cccc(Cl)c1CC(=O)Nc2cccc3ncccc23,1
Cc1ccc(cc1)S(=O)(=O)N2CCCN(CC2)C(=O)OC(C)(C)C,1
CC1CCCN(C1)C2(O)C(=O)Nc3ccc(Cl)cc23,1
CC(=O)c1cccc(NC(=S)NC2CCCCCCC2)c1,0
O=C(CNC(=O)c1ccc2ccccc2c1)NC3CCCCC3,1
CC(=C)C1Cc2c(C)nn(c2C1)c3cccc4cccnc34,1
C=CCN=C1S\C(=C\c2cccc(c2)N(=O)=O)\C(=O)N1CC=C,0
Cc1nnc(NC(=O)c2ccc(cc2)S(=O)(=O)N3CCCCC3)s1,0
CC(Sc1oc(nn1)c2occc2)C(=O)Nc3ccc(OC(F)F)cc3,1
Fc1ccc(CCNC(=O)CSCc2ccccc2)cc1,1
COC(=O)c1cc(NC(=O)CN(C)C2CCS(=O)(=O)C2)cc(c1)C(=O)OC,1
Fc1ccccc1NC(=O)Nc2nnc(CC3=CCCCC3)s2,0
CCc1cc2C(=O)N(CC=C)C(=Nc2s1)SCC(=O)N3CCOCC3,1
Clc1ccc(Cn2ccc(n2)C3CC3)cc1,0
Fc1ccccc1NC(=O)CN2CCN(CC2)c3ccccn3,1
COc1ccc(N\N=C\2/C=C(C)C=CC2=O)cc1,0
OC(=O)CSC1=Nc2sc3CCCc3c2C(=O)N1c4ccccc4,1
CCCCc1oc2ccc(cc2n1)C(=O)N3CCC(O)CC3,1
Cc1ccc(NC(=S)c2ccncc2)c(C)c1,1
COc1ccc(cc1)n2c(C)c(C(=O)O)c3cc(OC)c4ccccc4c23,0
Cc1ccc(cc1)C2=NN(C(C2)c3ccccc3F)C(=O)c4ccccc4F,0
CN1C(=O)NC(=O)c2c1nc(Br)n2C\C=N\NC(=S)N,1
CC1(C)C2CC=C(\C=N\NC(=O)C3CC3)C1C2,0
N\N=C(/c1ccccc1)\c2cc(Cl)ccc2N,1
COC(=O)c1cccc2C(=O)C(=O)Nc12,1
CC(C)(C)NS(=O)(=O)c1ccc(NC(=O)C2CCCO2)cc1,1
Cc1ccc(\C=C(/NC(=O)c2ccccc2)\C(=O)N3CCCCC3)cc1,1
Clc1ccc(cc1)n2nnnc2SCC(=O)NC3CCS(=O)(=O)C3,1
OC(=O)c1ccc(NC(=O)c2ccccc2NC(=O)c3cccc(F)c3)cc1,1
CCOC(=O)c1nnsc1N,0
CC(C)(C)c1ccc(cc1)c2nc(N)nc(N)n2,0
CC1CN(CC(C)O1)C(=O)CS(=O)(=O)Cc2ccc(Cl)cc2,1
Fc1ccc(SCC(=O)Nc2cccc(c2)S(=O)(=O)N3CCOCC3)cc1,1
Cc1cc(Nc2ccccc2C(=O)O)n(n1)c3ccc(cc3)N(=O)=O,1
CCc1ccc(cc1)N2C(=O)CN(Cc3cccs3)C2=S,0
COc1cc(ccc1NC(=O)CSc2n[nH]c(n2)C(C)C)N(=O)=O,1
Cc1c(oc2ccc(Cl)cc12)C(=O)N3CCC3,1
Cc1cc(C)nc(SCC(=O)OCC(=O)Nc2ccccc2)n1,1
Cc1onc(C)c1C(=O)Nc2ccc(cc2)n3ccc(n3)C(F)(F)F,0
COc1ccc(cc1OC)C(=O)NCC2CCCO2,1
Cc1cccc(OCc2oc(nn2)c3ccc(F)cc3)c1,1
Cc1ccc(NC(=O)C2=C\C(=C/3\C=CC=CC3=O)\NN2)cc1Cl,0
COc1cc2CC(=O)NC(c3ccc(Br)cc3)c2cc1OC,1
CN(C)CCNC(=O)c1[nH]nc2c1CCc3ccccc23,1
COc1ccc(CNc2nc(Cl)c(C#N)s2)cc1,0
Cc1ccc(NC(=O)N2CCc3ccccc3C2)c(C)c1,0
